playerName,country
KA Pollard,West Indies
LMP Simmons,West Indies
F du Plessis,South Africa
AM Rahane,India
R Vinay Kumar,India
Harbhajan Singh,India
MJ McClenaghan,New Zealand
KP Pietersen,England
AT Rayudu,India
JC Buttler,England
S Gopal,India
HH Pandya,India
RG Sharma,India
RV Uthappa,India
G Gambhir,India
Z Khan,India
NM Coulter-Nile,Australia
MK Pandey,India
P Negi,India
KK Nair,India
MA Agarwal,India
SV Samson,India
Q de Kock,South Africa
SS Iyer,India
CH Morris,South Africa
A Mishra,India
CR Brathwaite,West Indies
SK Raina,India
AJ Finch,Australia
KD Karthik,India
WP Saha,India
MP Stoinis,Australia
AR Patel,India
BB McCullum,New Zealand
RA Jadeja,India
Ishan Kishan,India
DJ Bravo,West Indies
M Vijay,India
M Vohra,India
DA Miller,South Africa
GJ Maxwell,Australia
MC Henriques,Australia
DA Warner,Australia
NV Ojha,India
S Dhawan,India
KV Sharma,India
DJ Hooda,India
EJG Morgan,England
A Ashish Reddy,India
SN Khan,India
AB de Villiers,South Africa
V Kohli,India
CH Gayle,West Indies
SR Watson,Australia
KM Jadhav,India
PA Patel,India
YK Pathan,India
SA Yadav,India
C Munro,New Zealand
AD Russell,West Indies
MS Dhoni,India
MR Marsh,Australia
SPD Smith,Australia
R Bhatia,India
P Sahu,India
MG Johnson,Australia
Sandeep Sharma,India
MM Sharma,India
SE Marsh,Australia
KH Pandya,India
TG Southee,New Zealand
AD Nath,India
DS Kulkarni,India
P Kumar,India
JP Faulkner,Australia
B Kumar,India
D Wiese,South Africa
JP Duminy,South Africa
NLTC Perera,Sri Lanka
R Ashwin,India
IK Pathan,India
MJ Guptill,New Zealand
KJ Abbott,South Africa
Shakib Al Hasan,Bangladesh
STR Binny,India
TM Head,Australia
KW Richardson,Australia
KL Rahul,India
DW Steyn,South Africa
Ankit Sharma,India
M Ashwin,India
NS Naik,India
AP Tare,India
R Dhawan,India
JA Morkel,South Africa
UT Yadav,India
PP Chawla,India
R Sathish,India
DR Smith,West Indies
Bipul Sharma,India
RR Pant,India
CA Lynn,Australia
SS Tiwary,India
KS Williamson,New Zealand
Sachin Baby,India
Parvez Rasool,India
SW Billings,England
Mohammed Shami,India
SP Narine,West Indies
JO Holder,West Indies
PSP Handscomb,Australia
KC Cariappa,India
Gurkeerat Singh,India
Swapnil Singh,India
UT Khawaja,Australia
J Yadav,India
Yuvraj Singh,India
HM Amla,South Africa
GJ Bailey,Australia
JJ Bumrah,India
F Behardien,South Africa
A Zampa,Australia
BB Sran,India
N Rana,India
A Nehra,India
UBT Chand,India
S Kaushik,India
PV Tambe,India
BCJ Cutting,Australia
S Nadeem,India
Imran Tahir,South Africa
M Morkel,South Africa
SB Jakati,India
Iqbal Abdulla,India
ER Dwivedi,India
CJ Jordan,England
Mandeep Singh,India
S Aravind,India
YS Chahal,India
TS Mills,England
A Choudhary,India
BA Stokes,England
JJ Roy,England
Vishnu Vinod,India
PJ Cummins,Australia
MK Tiwary,India
DT Christian,Australia
CR Woakes,England
Basil Thampi,India
RA Tripathi,India
CJ Anderson,New Zealand
DL Chahar,India
AB Dinda,India
Rashid Khan,Afghanistan
V Shankar,India
VR Aaron,India
RD Chahar,India
LH Ferguson,New Zealand
SN Thakur,India
C de Grandhomme,New Zealand
JD Unadkat,India
AF Milne,New Zealand
S Badree,West Indies
Mohammad Nabi,Afghanistan
I Sharma,India
AD Mathews,Sri Lanka
AJ Tye,Australia
K Rabada,South Africa
Kuldeep Yadav,India
Washington Sundar,India
DM Bravo,West Indies
Anureet Singh,India
AR Bawne,India
SP Jackson,India
Ankit Soni,India
SL Malinga,Sri Lanka
PJ Sangwan,India
S Kaul,India
MN Samuels,West Indies
R Tewatia,India
TA Boult,New Zealand
MM Patel,India
IR Jaggi,India
AS Rajpoot,India
MA Wood,England
E Lewis,West Indies
RK Singh,India
B Laughlin,Australia
DJM Short,Australia
K Gowtham,India
TK Curran,England
B Stanlake,Australia
M Markande,India
Mujeeb Ur Rahman,Afghanistan
Shubman Gill,India
Shivam Mavi,India
A Dananjaya,Sri Lanka
Mohammed Siraj,India
H Klaasen,South Africa
JC Archer,England
RK Bhui,India
PP Shaw,India
LE Plunkett,England
Mustafizur Rahman,Bangladesh
AD Hales,England
MK Lomror,India
DR Shorey,India
MM Ali,England
M Prasidh Krishna,India
HV Patel,India
P Chopra,India
Abhishek Sharma,India
JPR Scantlebury-Searles,West Indies
IS Sodhi,New Zealand
SP Goswami,India
SO Hetmyer,West Indies
S Dube,India
NA Saini,India
CA Ingram,South Africa
KMA Paul,West Indies
Rasikh Salam,India
JM Bairstow,England
N Pooran,West Indies
GH Vihari,India
P Ray Barman,India
Avesh Khan,India
S Lamichhane,Nepal
SM Curran,England
GC Viljoen,South Africa
HF Gurney,England
SD Lad,India
AS Joseph,West Indies
MJ Santner,New Zealand
R Parag,India
JL Denly,England
LS Livingstone,England
KK Ahmed,India
AJ Turner,Australia
Harpreet Brar,India
SE Rutherford,West Indies
Y Prithvi Raj,India
P Simran Singh,India
J Suchith,India
JL Pattinson,Australia
A Nortje,South Africa
D Padikkal,India
JR Philippe,Australia
PK Garg,India
T Natarajan,India
RD Gaikwad,India
YBK Jaiswal,India
Abdul Samad,India
KL Nagarkoti,India
JDS Neesham,New Zealand
Ravi Bishnoi,India
I Udana,Sri Lanka
CV Varun,India
SS Cottrell,West Indies
Arshdeep Singh,India
Kartik Tyagi,India
N Jagadeesan,India
AT Carey,Australia
T Banton,England
TU Deshpande,India
P Dubey,India
Shahbaz Ahmed,India
DR Sams,Australia
RM Patidar,India
KA Jamieson,New Zealand
M Jansen,South Africa
JA Richardson,Australia
M Shahrukh Khan,India
Lalit Yadav,India
Virat Singh,India
FA Allen,West Indies
C Sakariya,India
DJ Malan,England
